WKT,name,description
"POLYGON ((106.7983532 -6.2146171, 106.798203 -6.2148945, 106.798439 -6.2172409, 106.7983103 -6.2197154, 106.7984176 -6.2206113, 106.8031168 -6.2226164, 106.8048763 -6.2247069, 106.8087387 -6.2220831, 106.8083095 -6.2214005, 106.8082666 -6.2158117, 106.8070006 -6.2157477, 106.8062067 -6.2156411, 106.8061209 -6.2147025, 106.8062925 -6.2144465, 106.8063784 -6.2134866, 106.8062067 -6.2134439, 106.8061209 -6.2127826, 106.7983532 -6.2146171))",Gelora Bung Karno,
"POLYGON ((106.8809941 -6.290261, 106.881037 -6.2924792, 106.8823244 -6.2957637, 106.8843415 -6.3024181, 106.8873026 -6.3048068, 106.8919375 -6.3055746, 106.8970015 -6.3073662, 106.9004347 -6.3094563, 106.901808 -6.3107359, 106.9045975 -6.3109919, 106.9054987 -6.3112905, 106.9065287 -6.3111198, 106.9070008 -6.3104374, 106.9077303 -6.3087738, 106.9086315 -6.3074515, 106.9095757 -6.3062998, 106.9105627 -6.3057453, 106.9113781 -6.3048921, 106.9122793 -6.3016929, 106.9101765 -6.299944, 106.9100907 -6.2994322, 106.9089319 -6.2994322, 106.90537 -6.2981951, 106.9049837 -6.2983658, 106.904855 -6.2979819, 106.902795 -6.2972567, 106.9023659 -6.2975553, 106.899791 -6.2969154, 106.8994047 -6.2979819, 106.8988468 -6.2979392, 106.8984177 -6.2982805, 106.8946411 -6.2971287, 106.8934395 -6.29747, 106.8905213 -6.2964462, 106.8884613 -6.2917967, 106.8884184 -6.2911568, 106.8880322 -6.2907729, 106.8859722 -6.2911568, 106.8848135 -6.2911568, 106.8833115 -6.2905169, 106.8809941 -6.290261))",Taman Mini Indonesia Indah,
